date,channel,ticker,side,strike,bid,his_pct,our_eff_pct,added,pnl,book
2026-03-10,etf-options,QQQ,put,610,0.95,200.0,143.4,False,1684.35,6684.35
2026-03-19,etf-options,QQQ,call,592,2.05,7.0,2.9,False,30.75,6715.1
2026-04-01,etf-options,QQQ,call,585,1.5,225.0,161.7,False,1748.25,8463.35
2026-04-02,etf-options,QQQ,call,577,1.01,1000.0,726.0,False,8307.5,16770.85
2026-04-13,etf-options,QQQ,put,609,1.85,20.0,12.4,False,141.52,16912.38
2026-05-13,etf-options,SQQQ,call,43,1.05,45.0,30.6,False,363.82,17276.2
2026-05-13,options-king,ORCL,call,190,2.9,65.0,45.1,False,539.4,17815.6
2026-05-19,options-king,AAPL,call,300,3.0,20.0,12.4,False,114.75,17930.35
2026-05-20,options-king,NOW,call,105,2.55,63.1,43.8,False,459.76,18390.12
2026-05-21,options-king,NVDA,call,240,0.95,7.0,2.9,False,34.2,18424.32
2026-05-26,options-king,NOW,call,108,3.25,100.0,70.6,False,709.31,19133.63
2026-05-27,options-king,NVDA,put,210,0.95,100.0,70.6,False,829.35,19962.98
2026-05-28,options-king,SNOW,put,220,2.9,-6.9,-9.6,False,-114.84,19848.14
2026-06-04,options-king,NVDA,call,215,2.25,75.0,52.4,False,607.5,20455.64
2026-06-04,options-king,NVDA,call,215,2.3,75.0,60.5,True,1077.95,21533.59
2026-06-08,options-king,NVDA,put,207.5,2.75,12.0,6.6,False,74.25,21607.84
2026-06-09,etf-options,QQQ,put,720,2.16,1200.0,871.6,False,9695.7,31303.54
2026-06-10,options-king,NVDA,call,207.5,2.65,15.0,8.7,False,95.4,31398.94
2026-06-15,etf-options,QQQ,put,738,1.3,0.0,-2.9,False,-31.2,31367.74
2026-06-15,options-king,NVDA,call,220,2.1,16.67,10.0,False,107.65,31475.39
2026-06-17,options-king,NVDA,call,210,3.1,50.0,34.2,False,327.83,31803.22
2026-06-22,etf-options,QQQ,call,746,1.25,45.0,36.9,True,627.66,32430.88
2026-06-24,options-king,GOOGL,call,355,2.45,40.0,34.4,True,565.77,32996.64
