date,channel,ticker,side,strike,bid,his_pct,our_eff_pct,added,pnl,book,status
2026-03-10,etf-options,QQQ,put,610,0.95,200.0,143.4,False,1122.9,6122.9,taken
2026-03-12,etf-options,QQQ,call,600,1.3,23.08,14.6,False,97.89,6220.79,taken
2026-03-19,etf-options,QQQ,call,592,2.05,7.0,2.9,False,18.45,6239.24,taken
2026-04-01,etf-options,QQQ,call,585,1.5,225.0,161.7,False,1248.75,7487.99,taken
2026-04-02,etf-options,QQQ,call,577,1.01,1000.0,726.0,False,5286.59,12774.58,taken
2026-04-13,etf-options,QQQ,put,609,1.85,20.0,12.4,False,94.35,12868.93,taken
2026-05-13,etf-options,SQQQ,call,43,1.05,45.0,30.6,False,231.52,13100.46,taken
2026-05-13,options-king,ORCL,call,190,2.9,65.0,45.1,False,269.7,13370.16,taken
2026-05-20,options-king,NOW,call,105,2.55,63.1,43.8,False,344.82,13714.98,taken
2026-05-21,options-king,NVDA,call,240,0.95,7.0,2.9,False,22.8,13737.78,taken
2026-05-26,options-king,NOW,call,108,3.25,100.0,70.6,False,472.88,14210.66,taken
2026-05-27,options-king,NVDA,put,210,0.95,100.0,70.6,False,552.9,14763.56,taken
2026-06-04,options-king,NVDA,call,215,2.25,75.0,52.4,False,364.5,15128.06,taken
2026-06-04,options-king,NVDA,call,215,2.3,75.0,61.0,True,677.24,15805.29,taken
2026-06-08,options-king,NVDA,put,207.5,2.75,12.0,6.6,False,37.12,15842.42,taken
2026-06-10,options-king,NVDA,call,207.5,2.65,15.0,8.7,False,47.7,15890.12,taken
2026-06-11,options-king,ORCL,call,200,5.0,100.0,70.6,False,363.75,16253.87,taken
2026-06-15,etf-options,QQQ,put,738,1.3,0.0,-2.9,False,-19.5,16234.37,taken
2026-06-15,options-king,NVDA,call,220,2.1,16.67,10.0,False,64.59,16298.96,taken
2026-06-22,etf-options,QQQ,call,746,1.25,45.0,36.5,True,400.22,16699.18,taken
2026-06-24,options-king,GOOGL,call,355,2.45,40.0,33.8,True,399.84,17099.02,taken
2026-06-25,options-king,NOW,call,95,2.5,350.0,252.7,False,1951.88,19050.89,taken
2026-06-29,options-king,TSLA,call,400,2.9,100.0,70.6,False,421.95,19472.84,taken
2026-06-30,etf-options,QQQ,call,730,1.75,135.0,96.1,False,693.0,20165.84,taken
2026-07-01,high-confidence-options,CRWV,call,91,2.05,-25.0,-27.2,False,-172.2,19993.64,taken
2026-07-06,etf-options,QQQ,call,723,2.0,100.0,70.6,False,436.5,20430.14,taken
2026-07-06,options-king,TSLA,put,385,2.99,-25.0,-27.2,False,-167.44,20262.7,taken
2026-07-07,etf-options,QQQ,put,708,1.4,20.0,17.9,True,194.14,20456.85,taken
2026-07-08,high-confidence-options,NVDA,call,200,2.25,-25.0,-27.2,False,-189.0,20267.85,taken
2026-07-09,etf-options,QQQ,call,724,1.3,20.0,12.4,False,82.87,20350.72,taken
2026-07-22,etf-options,SPX,call,7530,2.55,50.0,34.2,False,269.66,20620.38,taken
2026-07-22,high-confidence-options,NVDA,call,207.5,1.15,650.0,471.1,False,3348.22,23968.61,taken
2026-07-23,etf-options,SPY,call,743,1.2,35.0,23.3,False,172.8,24141.41,taken
