date,trade,pnl,book,R
2026-08-05,MSFT put 487.5 2026-08-05,0.0,5000.0,0.0
2026-08-27,QQQ call 720 2026-08-27,198.0,5198.0,0.396
2026-08-27,NVDA call 230 2026-08-31,333.2,5531.2,0.666
2026-08-27,TSLA call 360 2026-08-31,979.11,6510.31,1.958
2026-08-31,TSLL call 10 2026-10-16,429.0,6939.31,0.858
2026-08-31,NVDA put 210 2026-09-11,-2460.0,4479.31,-4.92
2026-08-31,TSLA call 360 2026-08-31,3612.0,8091.31,7.224
2026-09-01,QQQ put 710 2026-09-01,357.0,8448.31,0.714
2026-09-02,TSLA call 355 2026-09-02,1695.45,10143.76,3.391
2026-09-02,QQQ put 705 2026-09-02,-2785.3,7358.46,-5.571
2026-09-02,GOOGL call 340 2026-09-09,2272.25,9630.71,4.545
2026-09-03,QQQ call 712 2026-09-03,8067.45,17698.16,16.135
2026-09-03,TSLA call 390 2026-09-04,-488.0,17210.16,-0.976
