date,trade,pnl,book,R
2026-08-05,MSFT put 487.5 2026-08-05,0.0,5000.0,0.0
2026-08-27,QQQ call 720 2026-08-27,198.0,5198.0,0.396
2026-08-27,NVDA call 230 2026-08-31,333.2,5531.2,0.666
2026-08-27,TSLA call 360 2026-08-31,523.8,6055.0,1.048
2026-08-31,TSLL call 10 2026-10-16,429.0,6484.0,0.858
2026-08-31,NVDA put 210 2026-09-11,-1740.0,4744.0,-3.48
2026-08-31,TSLA call 360 2026-08-31,1300.0,6044.0,2.6
2026-09-01,QQQ put 710 2026-09-01,357.0,6401.0,0.714
2026-09-02,TSLA call 355 2026-09-02,1397.0,7798.0,2.794
2026-09-02,QQQ put 705 2026-09-02,-1888.0,5910.0,-3.776
2026-09-02,GOOGL call 340 2026-09-09,1372.5,7282.5,2.745
2026-09-03,QQQ call 712 2026-09-03,4205.0,11487.5,8.41
2026-09-03,TSLA call 390 2026-09-04,-470.0,11017.5,-0.94
