date,channel,ticker,side,strike,bid,pct,R_used,qty,avg,exit,added,pnl,book,r_mult
2026-06-08,options-king,NVDA,put,207.5,2.75,12.0,500.0,11,2.6,3.08,True,528.0,5528.0,1.06
2026-06-09,etf-options,QQQ,put,720,2.16,1200.0,552.8,16,2.0385,28.08,True,41666.4,47194.4,75.37
2026-06-10,options-king,NVDA,call,207.5,2.65,15.0,4719.44,112,2.5045,3.0475,True,6081.75,53276.15,1.29
2026-06-11,options-king,ORCL,call,200,5.0,100.0,5327.61,67,4.7201,10.0,True,35375.0,88651.15,6.64
2026-06-15,etf-options,QQQ,put,738,1.3,0.0,8865.11,272,1.3,1.3,False,0.0,88651.15,0.0
2026-06-15,options-king,NVDA,call,220,2.1,16.67,8865.11,267,1.9832,2.4501,True,12465.37,101116.52,1.41
2026-06-17,options-king,NVDA,call,210,3.1,50.0,10111.65,206,2.9284,4.65,True,35464.0,136580.52,3.51
2026-06-22,etf-options,QQQ,call,746,1.25,45.0,13658.05,694,1.1806,1.8125,True,43856.25,180436.77,3.21
2026-06-24,options-king,GOOGL,call,355,2.45,40.0,18043.68,467,2.3139,3.43,True,52123.75,232560.52,2.89
2026-06-25,options-king,NOW,call,95,2.5,350.0,23256.05,590,2.3614,11.25,True,524425.0,756985.52,22.55
2026-06-29,options-king,TSLA,call,400,2.9,100.0,75698.55,1658,2.7389,5.8,True,507529.0,1264514.52,6.7
2026-06-30,etf-options,QQQ,call,730,1.75,135.0,126451.45,4590,1.6528,4.1125,True,1129012.5,2393527.02,8.93
2026-07-01,high-confidence-options,CRWV,call,91,2.05,-25.0,239352.7,7417,1.9361,1.5375,True,-295651.0,2097876.02,-1.24
2026-07-06,etf-options,QQQ,call,723,2.0,100.0,209787.6,6663,1.8889,4.0,True,1406640.0,3504516.02,6.71
2026-07-06,options-king,TSLA,put,385,2.99,-25.0,350451.6,7445,2.8239,2.2425,True,-432862.3,3071653.72,-1.24
2026-07-06,options-king,NVDA,call,197.5,1.95,71.15,307165.37,10006,1.8417,3.3374,True,1496657.96,4568311.67,4.87
2026-07-07,etf-options,QQQ,put,708,1.4,20.0,456831.17,20729,1.3222,1.68,True,741629.0,5309940.67,1.62
2026-07-08,high-confidence-options,NVDA,call,200,2.25,-25.0,530994.07,14991,2.125,1.6875,True,-655863.75,4654076.92,-1.24
2026-07-09,etf-options,QQQ,call,724,1.3,20.0,465407.69,22743,1.2278,1.56,True,755566.5,5409643.42,1.62
2026-07-22,etf-options,SPX,call,7530,2.55,50.0,540964.34,13476,2.4083,3.825,True,1909095.75,7318739.17,3.53
2026-07-22,high-confidence-options,NVDA,call,207.5,1.15,650.0,731873.92,40430,1.0861,8.625,True,30479726.5,37798465.67,41.65
2026-07-23,etf-options,SPY,call,743,1.2,35.0,3779846.57,200108,1.1333,1.62,True,9738588.0,47537053.67,2.58
2026-07-23,options-king,TSLA,put,325,2.0,235.0,4753705.37,150999,1.8889,6.7,True,72647280.0,120184333.67,15.28
2026-07-27,options-king,NVDA,put,205,2.4,48.0,12018433.37,318134,2.2667,3.552,True,40890808.8,161075142.47,3.4
2026-07-28,options-king,NVDA,call,195,2.1,68.9,16107514.25,487285,1.9833,3.5469,True,76190260.65,237265403.12,4.73
2026-07-29,etf-options,SPY,put,736,1.8,300.0,23726540.31,837406,1.7,7.2,True,460573290.0,697838693.12,19.41
2026-07-30,options-king,CRWV,call,75,2.85,130.0,69783869.31,1555553,2.6917,6.555,True,600961986.75,1298800679.87,8.61
2026-08-03,options-king,SPCX,call,130,3.3,55.0,129880067.99,2500364,3.1167,5.115,True,499656085.5,1798456765.37,3.85
2026-08-04,options-king,SMCI,call,30,2.9,300.0,179845676.54,3939824,2.7389,11.6,True,3491121819.0,5289578584.37,19.41
