idx,date,ticker,side,strike,expiry,channel,entry_bid,exit_pct,outcome_discord,instrument_id,status,entry_time,entry_fill,entry_match,exit_pct_discord,n_contracts,premium,added,avg,total_cost,pnl,R,exit_reason,book,exits_json
51,2026-08-05,MSFT,put,487.5,2026-08-05,high-confidence-options,1.0,0.0,scratch,383c7626-dc4e-4066-990d-8d5eab7ad4f5,taken,2026-08-05T19:55:00Z,0.92,close_tol_0.1,0.0,21,1932.0,False,0.92,1932.0,0.0,0.0,0dte_1545,5000.0,"[{""time"": ""2026-08-05T19:55:00Z"", ""n"": 21, ""px"": 0.92, ""kind"": ""0dte_1545"", ""pnl"": 0.0}]"
80,2026-08-27,QQQ,call,720,2026-08-27,etf-options,0.9,10.0,win_partial,9bd44612-3af8-4340-8ced-8f82e172ed57,taken,2026-08-27T13:40:00Z,0.9,bid_in_range_tol_0.05,10.0,22,1980.0,False,0.9,1980.0,198.00000000000017,0.39600000000000035,targets_hit,5198.0,"[{""time"": ""2026-08-27T13:40:00Z"", ""n"": 22, ""px"": 0.9900000000000001, ""kind"": ""target"", ""tgt"": 0.9900000000000001, ""pnl"": 198.00000000000017}]"
81,2026-08-27,NVDA,call,230,2026-08-31,platinum-options,1.4,17.0,win_partial,9df07d7c-635b-4fcc-902b-6891959e8a68,taken,2026-08-27T13:40:00Z,1.4,bid_in_range_tol_0.05,17.0,14,1959.9999999999998,False,1.4,1959.9999999999998,333.2,0.6664,targets_hit,5531.2,"[{""time"": ""2026-08-27T13:40:00Z"", ""n"": 14, ""px"": 1.638, ""kind"": ""target"", ""tgt"": 1.638, ""pnl"": 333.2}]"
82,2026-08-27,TSLA,call,360,2026-08-31,platinum-options,2.6,28.78,win_partial,48988873-2527-4263-9f71-b66b2a932ad2,taken,2026-08-27T13:45:00Z,2.6,bid_in_range_tol_0.05,28.78,7,1820.0,False,2.6,1820.0,523.7960000000002,1.0475920000000003,targets_hit,6054.996,"[{""time"": ""2026-08-27T14:35:00Z"", ""n"": 7, ""px"": 3.3482800000000004, ""kind"": ""target"", ""tgt"": 3.3482800000000004, ""pnl"": 523.7960000000002}]"
84,2026-08-31,TSLL,call,10,2026-10-16,options-king,0.75,22.0,win_partial,6e814299-5d01-42bd-8c5a-3297f00d072e,taken,2026-08-31T13:35:00Z,0.75,close_tol_0.05,22.0,26,1950.0,False,0.75,1950.0,429.0000000000001,0.8580000000000002,targets_hit,6483.996,"[{""time"": ""2026-08-31T13:50:00Z"", ""n"": 26, ""px"": 0.915, ""kind"": ""target"", ""tgt"": 0.915, ""pnl"": 429.0000000000001}]"
85,2026-08-31,NVDA,put,210,2026-09-11,platinum-options,2.0,30.0,win_partial,2f3a9430-b001-4859-a3ad-6b5104c429f2,taken,2026-08-31T13:40:00Z,2.0,close_tol_0.05,30.0,10,2000.0,False,2.0,2000.0,-1739.9999999999998,-3.4799999999999995,eod_last_bar_flag,4743.996,"[{""time"": ""2026-09-04T19:55:00Z"", ""n"": 10, ""px"": 0.26, ""kind"": ""eod_last_bar"", ""pnl"": -1739.9999999999998}]"
86,2026-08-31,TSLA,call,360,2026-08-31,platinum-options,2.6,100.0,win,48988873-2527-4263-9f71-b66b2a932ad2,taken,2026-08-31T13:45:00Z,2.6,close_tol_0.05,100.0,7,1820.0,False,2.6,1820.0,1300.0000000000002,2.6000000000000005,targets_hit,6043.996,"[{""time"": ""2026-08-31T14:20:00Z"", ""n"": 4, ""px"": 3.9000000000000004, ""kind"": ""target"", ""tgt"": 3.9000000000000004, ""pnl"": 520.0000000000001}, {""time"": ""2026-08-31T14:25:00Z"", ""n"": 3, ""px"": 5.2, ""kind"": ""target"", ""tgt"": 5.2, ""pnl"": 780.0000000000001}]"
87,2026-09-01,QQQ,put,710,2026-09-01,etf-options,1.15,20.0,win_partial,ca5d39f3-aa9a-4563-bcae-cc75825fa564,taken,2026-09-01T14:40:00Z,1.17,close_tol_0.05,20.0,17,1989.0,False,1.17,1989.0,356.99999999999994,0.7139999999999999,targets_hit,6400.996,"[{""time"": ""2026-09-01T14:40:00Z"", ""n"": 17, ""px"": 1.38, ""kind"": ""target"", ""tgt"": 1.38, ""pnl"": 356.99999999999994}]"
88,2026-09-02,TSLA,call,355,2026-09-02,platinum-options,1.27,100.0,win,3f98187d-4560-42d0-b5c5-122c2d5e1613,taken,2026-09-02T13:40:00Z,1.27,close_tol_0.05,100.0,15,1905.0,False,1.27,1905.0,1397.0,2.794,targets_hit,7797.996,"[{""time"": ""2026-09-02T13:40:00Z"", ""n"": 8, ""px"": 1.905, ""kind"": ""target"", ""tgt"": 1.905, ""pnl"": 508.0}, {""time"": ""2026-09-02T14:40:00Z"", ""n"": 7, ""px"": 2.54, ""kind"": ""target"", ""tgt"": 2.54, ""pnl"": 889.0}]"
89,2026-09-02,QQQ,put,705,2026-09-02,etf-options,1.25,50.0,win_partial,f64b55b8-ebf2-4492-a212-f2a5470bd179,taken,2026-09-02T13:30:00Z,1.22,close_tol_0.05,50.0,16,1952.0,False,1.22,1952.0,-1888.0,-3.776,0dte_1545,5909.996,"[{""time"": ""2026-09-02T19:45:00Z"", ""n"": 16, ""px"": 0.04, ""kind"": ""0dte_1545"", ""pnl"": -1888.0}]"
