entry_t,exit_t,sym,strike,exp,otype,qty,entry,exit,pnl,hold_min,pct
2026-06-10T16:35:05.699653+00:00,2026-06-10T18:18:47.730483+00:00,MSTR,125.0000,2026-06-26,call,1.0,5.65,4.69,-96.0,103.7,-16.99
2026-06-12T15:13:17.238867+00:00,2026-06-12T15:29:49.970301+00:00,MSTR,133.0000,2026-06-26,call,1.0,6.05,5.28,-77.0,16.55,-12.73
2026-07-01T15:30:22.501573+00:00,2026-07-02T16:01:40.207562+00:00,NVDA,200.0000,2026-07-10,call,1.0,2.98,1.82,-116.0,1471.3,-38.93
2026-07-01T15:30:22.501573+00:00,2026-07-02T16:01:49.825597+00:00,NVDA,200.0000,2026-07-10,call,1.0,2.98,1.83,-115.0,1471.46,-38.59
2026-07-01T13:09:11.891538+00:00,2026-07-06T14:26:00.279964+00:00,SLS,14.0000,2026-08-07,call,1.0,3.0,3.5,50.0,7276.81,16.67
2026-07-01T15:58:55.163519+00:00,2026-07-13T18:37:32.092855+00:00,WEN,11.0000,2027-01-15,call,1.0,1.01,0.58,-43.0,17438.62,-42.57
2026-07-01T15:59:27.597423+00:00,2026-07-13T18:38:26.186191+00:00,WEN,11.0000,2026-11-20,call,1.0,0.88,0.44,-44.0,17438.98,-50.0
2026-07-14T13:49:09.994946+00:00,2026-07-14T14:01:15.566807+00:00,NVDA,205.0000,2026-07-15,put,1.0,2.32,2.17,-15.0,12.09,-6.47
2026-07-15T14:03:36.374450+00:00,2026-07-15T14:22:23.657157+00:00,MU,965.0000,2026-07-15,call,1.0,5.3,1.77,-353.0,18.79,-66.6
2026-07-14T19:40:17.119849+00:00,2026-07-15T15:06:34.896257+00:00,IWM,292.0000,2026-07-20,put,1.0,1.48,0.71,-77.0,1166.3,-52.03
2026-07-16T14:04:45.889636+00:00,2026-07-16T14:20:58.372098+00:00,QQQ,712.0000,2026-07-16,call,1.0,1.53,2.06,53.0,16.21,34.64
2026-07-16T13:34:12.437368+00:00,2026-07-16T14:21:22.237079+00:00,QQQ,716.0000,2026-07-16,call,3.0,1.19,0.57,-186.0,47.16,-52.1
2026-07-16T19:03:23.508252+00:00,2026-07-20T13:42:09.723712+00:00,CRWV,100.0000,2026-08-21,call,1.0,2.39,3.8,141.0,5438.77,59.0
2026-07-14T13:43:48.551843+00:00,2026-07-20T14:10:30.581784+00:00,NOW,115.0000,2026-07-24,call,1.0,3.4,1.5,-190.0,8666.7,-55.88
2026-07-20T14:02:26.492991+00:00,2026-07-20T14:38:54.254753+00:00,TSLA,380.0000,2026-07-20,call,1.0,1.43,0.62,-81.0,36.46,-56.64
2026-07-20T14:06:43.256565+00:00,2026-07-20T14:38:54.254753+00:00,TSLA,380.0000,2026-07-20,call,1.0,1.39,0.62,-77.0,32.18,-55.4
2026-07-13T16:42:25.542001+00:00,2026-07-21T13:45:12.070450+00:00,APLD,35.0000,2026-08-21,call,1.0,1.95,2.05,10.0,11342.78,5.13
2026-07-13T16:42:25.542001+00:00,2026-07-21T13:47:01.615400+00:00,APLD,35.0000,2026-08-21,call,1.0,1.95,1.99,4.0,11344.6,2.05
2026-07-21T13:42:12.080672+00:00,2026-07-21T14:09:30.564302+00:00,NVDA,207.5000,2026-07-22,call,2.0,1.78,0.77,-202.0,27.31,-56.74
2026-07-21T13:51:15.863872+00:00,2026-07-21T14:09:30.564302+00:00,NVDA,207.5000,2026-07-22,call,1.0,1.47,0.77,-70.0,18.25,-47.62
2026-07-21T14:17:14.659340+00:00,2026-07-21T14:32:20.650889+00:00,QQQ,700.0000,2026-07-21,put,2.0,1.25,0.46,-158.0,15.1,-63.2
2026-07-21T14:23:19.659511+00:00,2026-07-21T14:32:20.650889+00:00,QQQ,700.0000,2026-07-21,put,1.0,0.85,0.46,-39.0,9.02,-45.88
2026-07-15T15:05:49.957736+00:00,2026-07-22T18:21:31.519802+00:00,NVTS,25.0000,2027-01-15,call,1.0,1.91,1.8,-11.0,10275.69,-5.76
2026-07-20T14:09:40.749029+00:00,2026-07-22T18:24:25.425564+00:00,SPCX,135.0000,2026-07-31,call,1.0,2.5,1.92,-58.0,3134.74,-23.2
2026-07-20T13:43:57.517579+00:00,2026-07-22T18:24:56.446852+00:00,NFLX,90.0000,2027-01-15,call,1.0,1.98,2.14,16.0,3160.98,8.08
2026-07-15T15:05:49.957736+00:00,2026-07-22T18:25:09.516344+00:00,NVTS,25.0000,2027-01-15,call,1.0,1.91,1.8,-11.0,10279.33,-5.76
2026-07-16T19:18:13.942322+00:00,2026-07-22T18:25:43.132995+00:00,SOFI,18.0000,2026-08-21,call,2.0,1.26,0.96,-60.0,8587.49,-23.81
2026-07-24T19:17:27.833588+00:00,2026-07-24T19:29:53.396661+00:00,NVDA,205.0000,2026-07-24,call,1.0,0.65,0.97,32.0,12.43,49.23
2026-07-24T19:23:31.682391+00:00,2026-07-24T19:30:35.513190+00:00,NVDA,205.0000,2026-07-24,call,2.0,0.75,0.89,28.0,7.06,18.67
2026-07-22T19:03:10.381362+00:00,2026-07-28T18:45:22.005714+00:00,SNAP,5.0000,2027-01-15,call,1.0,0.755,0.89,13.5,8622.19,17.88
2026-07-29T13:33:10.522789+00:00,2026-07-29T13:53:33.768244+00:00,SPY,736.0000,2026-07-29,put,1.0,1.63,2.3,67.0,20.39,41.1
2026-07-29T19:23:55.703697+00:00,2026-07-30T13:31:42.346647+00:00,CRWV,75.0000,2026-08-14,call,1.0,2.75,4.65,190.0,1087.78,69.09
2026-07-31T13:42:19.042035+00:00,2026-07-31T13:49:07.673847+00:00,QQQ,688.0000,2026-07-31,put,1.0,2.23,4.39,216.0,6.81,96.86
2026-07-31T13:31:04.143903+00:00,2026-07-31T13:49:50.100107+00:00,NFLX,72.0000,2026-07-31,call,1.0,0.69,0.54,-15.0,18.77,-21.74
2026-07-31T13:31:23.061197+00:00,2026-07-31T13:49:50.100107+00:00,NFLX,72.0000,2026-07-31,call,1.0,0.75,0.54,-21.0,18.45,-28.0
2026-07-31T13:31:23.061197+00:00,2026-07-31T13:50:06.087185+00:00,NFLX,72.0000,2026-07-31,call,2.0,0.75,0.5233,-45.33,18.72,-30.22
2026-07-31T13:35:01.610765+00:00,2026-07-31T13:50:06.087185+00:00,NFLX,72.0000,2026-07-31,call,1.0,0.57,0.5233,-4.67,15.07,-8.19
2026-07-23T14:46:07.393855+00:00,2026-07-31T14:06:21.635590+00:00,TSLL,9.0000,2027-03-19,call,1.0,1.98,1.37,-61.0,11480.24,-30.81
2026-07-23T16:34:44.648977+00:00,2026-07-31T14:06:21.635590+00:00,TSLL,9.0000,2027-03-19,call,4.0,2.0,1.37,-252.0,11371.62,-31.5
2026-07-30T19:06:23.369885+00:00,2026-07-31T14:06:43.239914+00:00,TSLL,8.0000,2027-01-15,call,1.0,1.42,1.31,-11.0,1140.33,-7.75
2026-07-28T18:48:10.385684+00:00,2026-07-31T14:06:53.839109+00:00,TSLL,9.0000,2027-03-19,call,1.0,1.48,1.37,-11.0,4038.72,-7.43
2026-07-22T19:03:10.381362+00:00,2026-08-03T16:06:42.052142+00:00,SNAP,5.0000,2027-01-15,call,1.0,0.755,0.97,21.5,17103.53,28.48
2026-08-03T13:33:42.173247+00:00,2026-08-03T16:39:03.513624+00:00,SPCX,130.0000,2026-08-14,call,1.0,4.0,5.29,129.0,185.36,32.25
2026-08-03T13:33:42.173247+00:00,2026-08-03T16:39:19.515247+00:00,SPCX,130.0000,2026-08-14,call,1.0,4.0,5.2,120.0,185.62,30.0
2026-08-04T13:45:06.162398+00:00,2026-08-04T13:51:59.847772+00:00,QQQ,715.0000,2026-08-04,call,1.0,1.8,2.15,35.0,6.89,19.44
2026-08-04T13:44:28.512512+00:00,2026-08-04T15:09:31.131645+00:00,SMCI,30.0000,2026-08-28,call,1.0,3.05,3.37,32.0,85.04,10.49
2026-08-04T13:44:28.512512+00:00,2026-08-04T15:10:38.873193+00:00,SMCI,30.0000,2026-08-28,call,1.0,3.05,3.37,32.0,86.17,10.49
2026-08-04T13:44:28.512512+00:00,2026-08-04T15:13:07.869277+00:00,SMCI,30.0000,2026-08-28,call,1.0,3.05,3.31,26.0,88.66,8.52
2026-08-05T13:32:37.589140+00:00,2026-08-05T13:34:25.392640+00:00,QQQ,730.0000,2026-08-05,call,1.0,1.84,2.09,25.0,1.8,13.59
2026-08-05T13:32:37.589140+00:00,2026-08-05T13:34:52.008175+00:00,QQQ,730.0000,2026-08-05,call,1.0,1.84,2.17,33.0,2.24,17.93
2026-08-05T13:32:37.589140+00:00,2026-08-05T13:35:13.571253+00:00,QQQ,730.0000,2026-08-05,call,2.0,1.84,2.26,84.0,2.6,22.83
2026-08-05T13:32:37.589140+00:00,2026-08-05T13:40:31.354572+00:00,QQQ,730.0000,2026-08-05,call,1.0,1.84,2.49,65.0,7.9,35.33
2026-08-05T14:13:32.250845+00:00,2026-08-05T14:21:29.439439+00:00,PLTR,165.0000,2026-08-07,call,5.0,2.66,1.8,-430.0,7.95,-32.33
2026-08-05T14:14:41.615090+00:00,2026-08-05T14:41:32.615257+00:00,NVDA,225.0000,2026-08-07,call,2.0,2.02,1.28,-148.0,26.85,-36.63
2026-08-05T14:33:04.909351+00:00,2026-08-05T14:41:32.615257+00:00,NVDA,225.0000,2026-08-07,call,2.0,1.39,1.28,-22.0,8.46,-7.91
2026-08-05T14:40:05.037612+00:00,2026-08-05T15:39:31.715472+00:00,MSFT,487.5000,2026-08-05,put,1.0,1.06,1.08,2.0,59.44,1.89
2026-08-05T14:40:05.037612+00:00,2026-08-05T15:49:02.561276+00:00,MSFT,487.5000,2026-08-05,put,1.0,1.06,1.39,33.0,68.96,31.13
2026-08-05T14:40:05.037612+00:00,2026-08-05T15:52:30.386177+00:00,MSFT,487.5000,2026-08-05,put,2.0,1.06,1.4,68.0,72.42,32.08
2026-08-05T14:40:05.037612+00:00,2026-08-05T18:07:29.799902+00:00,MSFT,487.5000,2026-08-05,put,1.0,1.06,2.78,172.0,207.41,162.26
2026-08-05T14:41:46.779870+00:00,2026-08-05T18:07:29.799902+00:00,MSFT,487.5000,2026-08-05,put,3.0,1.09,2.78,507.0,205.72,155.05
2026-08-05T14:41:46.779870+00:00,2026-08-05T18:07:49.614862+00:00,MSFT,487.5000,2026-08-05,put,2.0,1.09,2.21,224.0,206.05,102.75
2026-08-05T17:42:13.461619+00:00,2026-08-05T18:08:25.805705+00:00,MSFT,487.5000,2026-08-05,put,2.0,0.92,1.4,96.0,26.21,52.17
2026-08-05T17:43:08.493840+00:00,2026-08-05T18:08:25.805705+00:00,MSFT,487.5000,2026-08-05,put,1.0,0.87,1.4,53.0,25.29,60.92
2026-08-05T17:44:10.371627+00:00,2026-08-05T18:08:45.690684+00:00,MSFT,487.5000,2026-08-05,put,1.0,0.77,1.1,33.0,24.59,42.86
2026-08-05T18:12:42.506324+00:00,2026-08-05T18:33:50.164734+00:00,PLTR,165.0000,2026-08-07,call,4.0,1.4175,1.02,-159.0,21.13,-28.04
2026-08-06T13:36:20.937353+00:00,2026-08-06T13:37:58.092378+00:00,QQQ,713.0000,2026-08-06,call,1.0,2.54,2.9,36.0,1.62,14.17
2026-08-06T13:36:20.937353+00:00,2026-08-06T13:39:07.470660+00:00,QQQ,713.0000,2026-08-06,call,2.0,2.54,2.6,12.0,2.78,2.36
2026-08-06T13:36:20.937353+00:00,2026-08-06T13:41:09.403858+00:00,QQQ,713.0000,2026-08-06,call,1.0,2.54,3.2,66.0,4.81,25.98
2026-08-06T13:47:30.590031+00:00,2026-08-06T13:52:57.380338+00:00,QQQ,716.0000,2026-08-06,call,1.0,2.1,2.25,15.0,5.45,7.14
2026-08-06T13:51:46.773006+00:00,2026-08-06T14:26:15.797851+00:00,SPY,772.0000,2026-08-06,call,5.0,1.29,0.82,-235.0,34.48,-36.43
2026-08-06T14:02:07.501931+00:00,2026-08-06T14:26:31.539387+00:00,SPY,772.0000,2026-08-06,call,3.0,1.0933,0.73,-109.0,24.4,-33.23
2026-08-06T13:47:30.590031+00:00,2026-08-06T14:27:19.327311+00:00,QQQ,716.0000,2026-08-06,call,2.0,2.1,2.69,118.0,39.81,28.1
2026-08-06T14:28:18.184825+00:00,2026-08-06T15:01:59.124509+00:00,QQQ,718.0000,2026-08-06,call,2.0,1.75,2.18,86.0,33.68,24.57
2026-08-06T14:28:18.184825+00:00,2026-08-06T16:01:05.873009+00:00,QQQ,718.0000,2026-08-06,call,3.0,1.75,0.52,-369.0,92.79,-70.29
2026-08-06T14:41:24.345167+00:00,2026-08-06T16:01:05.873009+00:00,QQQ,718.0000,2026-08-06,call,2.0,1.43,0.52,-182.0,79.69,-63.64
2026-08-06T16:01:40.400855+00:00,2026-08-06T16:39:51.708586+00:00,QQQ,713.0000,2026-08-06,put,5.0,1.19,0.76,-215.0,38.19,-36.13
2026-08-05T18:33:04.308062+00:00,2026-08-07T13:30:24.701747+00:00,SLV,58.0000,2026-08-21,call,4.0,1.37,1.98,244.0,2577.34,44.53
2026-08-05T18:33:04.308062+00:00,2026-08-07T13:31:27.130699+00:00,SLV,58.0000,2026-08-21,call,3.0,1.37,1.97,180.0,2578.38,43.8
2026-08-05T18:33:04.308062+00:00,2026-08-07T13:32:20.119174+00:00,SLV,58.0000,2026-08-21,call,3.0,1.37,1.93,168.0,2579.26,40.88
2026-08-05T19:43:31.684400+00:00,2026-08-07T13:32:20.119174+00:00,SLV,58.0000,2026-08-21,call,2.0,1.3,1.93,126.0,2508.81,48.46
2026-08-06T13:31:24.933747+00:00,2026-08-07T13:32:20.119174+00:00,SLV,58.0000,2026-08-21,call,2.0,1.045,1.93,177.0,1440.92,84.69
2026-08-07T13:41:30.054337+00:00,2026-08-07T13:46:26.567448+00:00,SLV,60.0000,2026-08-21,call,2.0,1.32,1.26,-12.0,4.94,-4.55
2026-08-07T13:47:13.114138+00:00,2026-08-07T13:49:58.569544+00:00,MSFT,507.5000,2026-08-07,call,3.0,1.23,1.4,51.0,2.76,13.82
2026-08-07T13:48:07.804680+00:00,2026-08-07T13:50:25.537721+00:00,TSLA,330.0000,2026-08-07,call,4.0,1.35,1.55,80.0,2.3,14.81
2026-08-07T13:47:13.114138+00:00,2026-08-07T13:50:42.048715+00:00,MSFT,507.5000,2026-08-07,call,2.0,1.23,1.15,-16.0,3.48,-6.5
2026-08-07T14:06:56.579141+00:00,2026-08-07T14:19:13.766949+00:00,PLTR,170.0000,2026-08-07,call,3.0,1.2,1.55,105.0,12.29,29.17
2026-08-07T14:06:56.579141+00:00,2026-08-07T14:21:10.956463+00:00,PLTR,170.0000,2026-08-07,call,2.0,1.2,1.5,60.0,14.24,25.0
2026-08-07T14:13:13.751235+00:00,2026-08-07T14:23:25.434521+00:00,PLTR,170.0000,2026-08-07,call,1.0,0.78,1.82,104.0,10.19,133.33
2026-08-07T14:13:13.751235+00:00,2026-08-07T14:23:45.502886+00:00,PLTR,170.0000,2026-08-07,call,1.0,0.78,1.95,117.0,10.53,150.0
2026-08-07T14:13:13.751235+00:00,2026-08-07T14:26:49.445491+00:00,PLTR,170.0000,2026-08-07,call,1.0,0.78,1.99,121.0,13.59,155.13
2026-08-07T14:13:13.751235+00:00,2026-08-07T14:28:47.758460+00:00,PLTR,170.0000,2026-08-07,call,1.0,0.78,1.83,105.0,15.57,134.62
2026-08-07T14:13:13.751235+00:00,2026-08-07T14:29:18.325120+00:00,PLTR,170.0000,2026-08-07,call,1.0,0.78,1.66,88.0,16.08,112.82
2026-08-10T16:11:31.756300+00:00,2026-08-10T16:29:51.045754+00:00,NVDA,225.0000,2026-08-19,call,1.0,2.65,2.23,-42.0,18.32,-15.85
2026-08-04T13:57:35.148445+00:00,2026-08-10T16:30:10.526949+00:00,CPRI,20.0000,2027-01-15,call,1.0,1.4,0.91,-49.0,8792.59,-35.0
2026-08-04T13:57:35.148445+00:00,2026-08-10T17:28:29.840563+00:00,CPRI,20.0000,2027-01-15,call,1.0,1.4,0.9,-50.0,8850.91,-35.71
2026-08-31T13:51:29.752732+00:00,2026-08-31T13:55:25.821332+00:00,TSLL,10.0000,2026-10-16,call,5.0,0.88,0.89,5.0,3.93,1.14
2026-08-31T13:51:29.752732+00:00,2026-08-31T14:18:47.407010+00:00,TSLL,10.0000,2026-10-16,call,1.0,0.88,0.93,5.0,27.29,5.68
2026-08-31T13:51:29.752732+00:00,2026-08-31T14:19:16.508399+00:00,TSLL,10.0000,2026-10-16,call,4.0,0.88,0.93,20.0,27.78,5.68
2026-09-02T15:06:10.055323+00:00,2026-09-02T16:06:05.416940+00:00,GOOGL,340.0000,2026-09-09,call,2.0,3.1,3.8,140.0,59.92,22.58
2026-09-02T15:07:00.401132+00:00,2026-09-02T16:06:05.416940+00:00,GOOGL,340.0000,2026-09-09,call,1.0,3.15,3.8,65.0,59.08,20.63
2026-09-02T15:08:06.713441+00:00,2026-09-03T13:31:37.280728+00:00,GOOGL,340.0000,2026-09-09,call,1.0,2.96,5.52,256.0,1343.51,86.49
2026-09-02T16:17:16.923310+00:00,2026-09-03T13:31:37.280728+00:00,GOOGL,340.0000,2026-09-09,call,1.0,3.7,5.52,182.0,1274.34,49.19
2026-09-02T17:40:04.535212+00:00,2026-09-03T13:31:37.280728+00:00,GOOGL,340.0000,2026-09-09,call,1.0,3.45,5.52,207.0,1191.55,60.0
2026-09-02T19:11:01.649201+00:00,2026-09-03T13:31:37.280728+00:00,GOOGL,340.0000,2026-09-09,call,1.0,3.71,5.52,181.0,1100.59,48.79
2026-09-04T15:13:11.140525+00:00,2026-09-04T18:00:55.535482+00:00,TSLA,355.0000,2026-09-04,call,2.0,1.6,0.69,-182.0,167.74,-56.88
2026-09-04T15:15:41.714928+00:00,2026-09-04T18:00:55.535482+00:00,TSLA,355.0000,2026-09-04,call,1.0,1.38,0.69,-69.0,165.23,-50.0
2026-09-04T15:18:26.245563+00:00,2026-09-04T18:00:55.535482+00:00,TSLA,355.0000,2026-09-04,call,1.0,1.2,0.69,-51.0,162.49,-42.5
2026-09-04T15:19:30.817197+00:00,2026-09-04T18:00:55.535482+00:00,TSLA,355.0000,2026-09-04,call,1.0,1.19,0.69,-50.0,161.41,-42.02
2026-09-04T15:23:35.904733+00:00,2026-09-04T18:01:21.113322+00:00,TSLA,355.0000,2026-09-04,call,1.0,1.38,0.65,-73.0,157.75,-52.9
2026-09-04T15:43:24.236039+00:00,2026-09-04T18:01:21.113322+00:00,TSLA,355.0000,2026-09-04,call,1.0,1.11,0.65,-46.0,137.95,-41.44
2026-09-04T15:44:12.471916+00:00,2026-09-04T18:01:21.113322+00:00,TSLA,355.0000,2026-09-04,call,1.0,1.05,0.65,-40.0,137.14,-38.1
2026-09-04T16:28:40.410969+00:00,2026-09-04T18:01:21.113322+00:00,TSLA,355.0000,2026-09-04,call,2.0,0.74,0.65,-18.0,92.68,-12.16
2026-09-04T16:44:10.700948+00:00,2026-09-04T18:01:21.113322+00:00,TSLA,355.0000,2026-09-04,call,2.0,0.76,0.65,-22.0,77.17,-14.47
2026-09-04T16:50:34.332040+00:00,2026-09-04T18:01:21.113322+00:00,TSLA,355.0000,2026-09-04,call,2.0,0.72,0.65,-14.0,70.78,-9.72
2026-09-04T17:01:51.098721+00:00,2026-09-04T18:01:21.113322+00:00,TSLA,355.0000,2026-09-04,call,2.0,0.72,0.65,-14.0,59.5,-9.72
2026-09-04T17:07:07.274617+00:00,2026-09-04T18:01:21.113322+00:00,TSLA,355.0000,2026-09-04,call,2.0,0.58,0.65,14.0,54.23,12.07
2026-09-04T17:07:34.383484+00:00,2026-09-04T18:01:21.113322+00:00,TSLA,355.0000,2026-09-04,call,2.0,0.63,0.65,4.0,53.78,3.17
2026-09-04T18:31:49.846073+00:00,2026-09-04T18:34:06.276959+00:00,TSLA,355.0000,2026-09-04,call,5.0,0.6,0.69,45.0,2.27,15.0
2026-09-04T18:31:49.846073+00:00,2026-09-04T18:36:07.502903+00:00,TSLA,355.0000,2026-09-04,call,5.0,0.6,0.63,15.0,4.29,5.0
2026-09-04T18:31:49.846073+00:00,2026-09-04T18:37:18.496627+00:00,TSLA,355.0000,2026-09-04,call,10.0,0.6,0.511,-89.0,5.48,-14.83
2026-09-04T18:42:17.832134+00:00,2026-09-04T18:54:16.495188+00:00,TSLA,355.0000,2026-09-04,call,5.0,0.528,0.58,26.0,11.98,9.85
2026-09-04T18:42:17.832134+00:00,2026-09-04T18:57:09.355075+00:00,TSLA,355.0000,2026-09-04,call,5.0,0.528,0.67,71.0,14.86,26.89
2026-09-04T18:49:30.555574+00:00,2026-09-04T19:01:16.350830+00:00,TSLA,355.0000,2026-09-04,call,2.0,0.48,0.76,56.0,11.76,58.33
2026-09-04T18:49:30.555574+00:00,2026-09-04T19:19:52.201276+00:00,TSLA,355.0000,2026-09-04,call,8.0,0.48,0.43,-40.0,30.36,-10.42
2026-09-04T19:20:27.790965+00:00,2026-09-04T19:42:59.020503+00:00,TSLA,360.0000,2026-09-09,call,3.0,3.45,2.95,-150.0,22.52,-14.49
2026-09-04T19:21:25.000256+00:00,2026-09-04T19:42:59.020503+00:00,TSLA,360.0000,2026-09-09,call,2.0,3.4,2.95,-90.0,21.57,-13.24
2026-09-04T19:24:22.931102+00:00,2026-09-04T19:42:59.020503+00:00,TSLA,360.0000,2026-09-09,call,2.0,3.5,2.95,-110.0,18.6,-15.71
2026-09-04T19:47:10.399595+00:00,2026-09-04T19:59:53.923364+00:00,TSLA,345.0000,2026-09-09,put,5.0,1.96,1.88,-40.0,12.73,-4.08
